Time,Emotion
2026-03-30 15:35:31.070924,sad
2026-03-30 15:35:31.237405,happy
2026-03-30 15:35:31.357630,happy
2026-03-30 15:35:31.484284,happy
2026-03-30 15:35:31.605705,neutral
2026-03-30 15:35:31.728725,neutral
2026-03-30 15:35:31.853332,neutral
2026-03-30 15:35:31.977251,happy
2026-03-30 15:35:32.098766,neutral
2026-03-30 15:35:32.213591,neutral
2026-03-30 15:35:32.324230,neutral
2026-03-30 15:35:32.434029,neutral
2026-03-30 15:35:32.567477,happy
2026-03-30 15:35:32.703951,sad
2026-03-30 15:35:32.819588,happy
2026-03-30 15:35:32.933467,neutral
2026-03-30 15:35:33.043107,sad
2026-03-30 15:35:33.156683,happy
2026-03-30 15:35:33.281167,happy
2026-03-30 15:35:33.412053,happy
2026-03-30 15:35:33.529984,happy
2026-03-30 15:35:33.657209,happy
2026-03-30 15:35:33.785471,neutral
2026-03-30 15:35:33.906966,happy
2026-03-30 15:35:34.026959,neutral
2026-03-30 15:35:34.143882,neutral
2026-03-30 15:35:34.266128,neutral
2026-03-30 15:35:34.409659,neutral
2026-03-30 15:35:34.668868,neutral
2026-03-30 15:35:34.792424,happy
2026-03-30 15:35:34.916586,happy
2026-03-30 15:35:35.041383,happy
2026-03-30 15:35:35.165560,happy
2026-03-30 15:35:35.275823,neutral
2026-03-30 15:35:35.397594,fear
2026-03-30 15:35:35.522388,happy
2026-03-30 15:35:35.646509,fear
2026-03-30 15:35:35.769262,happy
2026-03-30 15:35:35.891086,happy
2026-03-30 15:35:36.004072,happy
2026-03-30 15:35:36.124771,happy
2026-03-30 15:35:36.251661,happy
2026-03-30 15:35:36.368173,happy
2026-03-30 15:35:36.499544,happy
2026-03-30 15:35:36.622513,happy
2026-03-30 15:35:36.928341,happy
2026-03-30 15:35:37.057685,happy
2026-03-30 15:35:37.217217,neutral
2026-03-30 15:35:37.341200,happy
2026-03-30 15:35:37.465397,happy
2026-03-30 15:35:37.592683,happy
2026-03-30 15:35:37.715127,neutral
2026-03-30 15:35:37.838941,neutral
2026-03-30 15:35:37.962444,neutral
2026-03-30 15:35:38.087919,neutral
2026-03-30 15:35:38.240579,neutral
2026-03-30 15:35:38.366340,neutral
2026-03-30 15:35:38.490654,happy
2026-03-30 15:35:38.616230,neutral
2026-03-30 15:35:38.741288,happy
2026-03-30 15:35:38.866212,neutral
2026-03-30 15:35:38.990977,neutral
2026-03-30 15:35:39.115452,neutral
2026-03-30 15:35:39.238757,neutral
2026-03-30 15:35:39.362499,neutral
2026-03-30 15:35:39.489181,neutral
2026-03-30 15:35:39.611794,neutral
2026-03-30 15:35:39.737001,happy
2026-03-30 15:35:39.877530,happy
2026-03-30 15:35:40.002174,happy
2026-03-30 15:35:40.127719,happy
2026-03-30 15:35:40.252097,happy
2026-03-30 15:35:40.377689,happy
2026-03-30 15:35:40.501090,neutral
2026-03-30 15:35:40.624514,angry
2026-03-30 15:35:40.749647,sad
2026-03-30 15:35:40.874212,angry
2026-03-30 15:35:40.997496,angry
2026-03-30 15:35:41.155784,sad
2026-03-30 15:35:41.280695,neutral
2026-03-30 15:35:41.405465,neutral
2026-03-30 15:35:41.530350,angry
2026-03-30 15:35:41.655501,angry
2026-03-30 15:35:41.780597,sad
2026-03-30 15:35:41.903817,sad
2026-03-30 15:35:42.029806,neutral
2026-03-30 15:35:42.154672,neutral
2026-03-30 15:35:42.277736,fear
2026-03-30 15:35:42.401706,fear
2026-03-30 15:35:42.559453,neutral
2026-03-30 15:35:42.684936,neutral
2026-03-30 15:35:42.811029,neutral
2026-03-30 15:35:42.934783,neutral
2026-03-30 15:35:43.061275,neutral
2026-03-30 15:35:43.310951,neutral
2026-03-30 15:35:43.434525,neutral
2026-03-30 15:35:43.556298,neutral
2026-03-30 15:35:43.679156,neutral
2026-03-30 15:35:43.803272,neutral
2026-03-30 15:35:43.928076,neutral
2026-03-30 15:35:44.051171,neutral
2026-03-30 15:35:44.193535,neutral
2026-03-30 15:35:44.322196,neutral
2026-03-30 15:35:44.446280,neutral
2026-03-30 15:35:44.571274,neutral
2026-03-30 15:35:44.694528,neutral
2026-03-30 15:35:44.818888,neutral
2026-03-30 15:35:44.942157,neutral
2026-03-30 15:35:45.082212,neutral
2026-03-30 15:35:45.208732,neutral
2026-03-30 15:35:45.331760,neutral
2026-03-30 15:35:45.455081,sad
2026-03-30 15:35:45.579515,neutral
2026-03-30 15:35:45.703551,neutral
2026-03-30 15:35:45.830742,neutral
2026-03-30 15:35:45.954285,sad
2026-03-30 15:35:46.077531,neutral
2026-03-30 15:35:46.202142,neutral
